# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -@ 8 /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/02_reads_preprocessing/gut_adult/ERR2641677/ERR2641677.host.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	e13744b8	ee364fd2	aec4a160
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	43622094	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	43622094
SN	is sorted:	1
SN	1st fragments:	21811047
SN	last fragments:	21811047
SN	reads mapped:	16048
SN	reads mapped and paired:	15970	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	43606046
SN	reads properly paired:	15958	# proper-pair bit set
SN	reads paired:	43622094	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	117	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	6539871690	# ignores clipping
SN	total first fragment length:	3270031846	# ignores clipping
SN	total last fragment length:	3269839844	# ignores clipping
SN	bases mapped:	2402010	# ignores clipping
SN	bases mapped (cigar):	2402010	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	17153	# from NM fields
SN	error rate:	7.141103e-03	# mismatches / bases mapped (cigar)
SN	average length:	150
SN	average first fragment length:	150
SN	average last fragment length:	150
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	37.7
SN	insert size average:	296.3
SN	insert size standard deviation:	63.2
SN	inward oriented pairs:	7971
SN	outward oriented pairs:	9
SN	pairs with other orientation:	2
SN	pairs on different chromosomes:	3
SN	percentage of properly paired reads (%):	0.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	215159	0	0	0	0	0	0	0	0	0	195316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396653	0	0	0	0	21003919	0	0	0	0	0	0	0	0	0	0
FFQ	2	0	0	251	0	0	0	0	0	0	0	0	0	221666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415312	0	0	0	0	21173791	0	0	0	0	27	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	207813	0	0	0	0	0	0	0	0	0	37	0	0	0	0	404171	0	0	0	0	3487846	0	0	0	0	17711180	0	0	0	0	0
FFQ	4	0	0	6	0	0	0	0	0	0	0	0	0	185775	0	0	0	0	0	0	0	0	0	20404	0	0	0	0	345997	0	0	0	0	1264609	0	0	0	0	19994256	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	150003	0	0	0	0	0	0	0	0	0	52982	0	0	0	0	248657	0	0	0	0	786022	0	0	0	0	20573383	0	0	0	0	0
FFQ	6	0	0	301	0	0	0	0	0	0	0	0	0	109476	0	0	0	0	0	0	0	0	0	48261	0	0	0	0	192757	0	0	0	0	585305	0	0	0	0	1711970	0	0	0	19162977	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	103986	0	0	0	0	0	0	0	0	0	47002	0	0	0	0	183906	0	0	0	0	518333	0	0	0	0	1453135	0	0	0	19504685	0
FFQ	8	0	0	10	0	0	0	0	0	0	0	0	0	100012	0	0	0	0	0	0	0	0	0	50350	0	0	0	0	167597	0	0	0	0	491630	0	0	0	0	1339361	0	0	0	19662087	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	93062	0	0	0	0	0	0	0	0	0	52303	0	0	0	0	155162	0	0	0	0	477117	0	0	0	0	1298889	0	0	0	19734514	0
FFQ	10	0	0	213	0	0	0	0	0	0	0	0	0	96661	0	0	0	0	0	0	0	0	0	54076	0	0	0	0	160739	0	0	0	0	491235	0	0	0	0	1293750	0	0	0	19714373	0
