FFQ	11	0	0	3	0	0	0	0	0	0	0	0	0	96986	0	0	0	0	0	0	0	0	0	61596	0	0	0	0	155166	0	0	0	0	484945	0	0	0	0	1280787	0	0	0	19731564	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	98524	0	0	0	0	0	0	0	0	0	63317	0	0	0	0	160338	0	0	0	0	501402	0	0	0	0	1292419	0	0	0	19695047	0
FFQ	13	0	0	167	0	0	0	0	0	0	0	0	0	92480	0	0	0	0	0	0	0	0	0	71848	0	0	0	0	157555	0	0	0	0	487524	0	0	0	0	1274175	0	0	0	19727298	0
FFQ	14	0	0	0	0	0	0	0	0	0	0	0	0	94947	0	0	0	0	0	0	0	0	0	81654	0	0	0	0	160310	0	0	0	0	484900	0	0	0	0	1258156	0	0	0	19731080	0
FFQ	15	0	0	0	0	0	0	0	0	0	0	0	0	94860	0	0	0	0	0	0	0	0	0	91656	0	0	0	0	164884	0	0	0	0	472525	0	0	0	0	1259263	0	0	0	19727859	0
FFQ	16	0	0	0	0	0	0	0	0	0	0	0	0	93868	0	0	0	0	0	0	0	0	0	101656	0	0	0	0	169751	0	0	0	0	466169	0	0	0	0	1243645	0	0	0	19735958	0
FFQ	17	0	0	0	0	0	0	0	0	0	0	0	0	95291	0	0	0	0	0	0	0	0	0	107415	0	0	0	0	170640	0	0	0	0	460896	0	0	0	0	1246771	0	0	0	19730034	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	96111	0	0	0	0	0	0	0	0	0	110854	0	0	0	0	172440	0	0	0	0	459548	0	0	0	0	1243203	0	0	0	19728891	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	97366	0	0	0	0	0	0	0	0	0	111272	0	0	0	0	173620	0	0	0	0	461406	0	0	0	0	1253190	0	0	0	19714193	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	97786	0	0	0	0	0	0	0	0	0	111037	0	0	0	0	171028	0	0	0	0	457890	0	0	0	0	1254416	0	0	0	19718890	0
FFQ	21	0	0	0	0	0	0	0	0	0	0	0	0	283761	0	0	0	0	0	0	0	0	0	129546	0	0	0	0	193263	0	0	0	0	527292	0	0	0	0	1308826	0	0	0	19368359	0
FFQ	22	0	0	0	0	0	0	0	0	0	0	0	0	104143	0	0	0	0	0	0	0	0	0	118687	0	0	0	0	178054	0	0	0	0	561380	0	0	0	0	1396976	0	0	0	19451807	0
FFQ	23	0	0	206	0	0	0	0	0	0	0	0	0	109215	0	0	0	0	0	0	0	0	0	121558	0	0	0	0	193876	0	0	0	0	472164	0	0	0	0	1369100	0	0	0	19544928	0
FFQ	24	0	0	0	0	0	0	0	0	0	0	0	0	104301	0	0	0	0	0	0	0	0	0	121453	0	0	0	0	215074	0	0	0	0	428336	0	0	0	0	1303878	0	0	0	19638005	0
FFQ	25	0	0	600	0	0	0	0	0	0	0	0	0	104975	0	0	0	0	0	0	0	0	0	124052	0	0	0	0	227515	0	0	0	0	412314	0	0	0	0	1294774	0	0	0	19646817	0
FFQ	26	0	0	0	0	0	0	0	0	0	0	0	0	142920	0	0	0	0	0	0	0	0	0	127880	0	0	0	0	247521	0	0	0	0	388767	0	0	0	0	1296938	0	0	0	19607021	0
FFQ	27	0	0	0	0	0	0	0	0	0	0	0	0	142129	0	0	0	0	0	0	0	0	0	132109	0	0	0	0	253529	0	0	0	0	377888	0	0	0	0	1287768	0	0	0	19617624	0
FFQ	28	0	0	0	0	0	0	0	0	0	0	0	0	149028	0	0	0	0	0	0	0	0	0	137085	0	0	0	0	259881	0	0	0	0	382821	0	0	0	0	1308500	0	0	0	19573732	0
FFQ	29	0	0	0	0	0	0	0	0	0	0	0	0	149377	0	0	0	0	0	0	0	0	0	138834	0	0	0	0	261215	0	0	0	0	384629	0	0	0	0	1316524	0	0	0	19560468	0
FFQ	30	0	0	0	0	0	0	0	0	0	0	0	0	154726	0	0	0	0	0	0	0	0	0	140695	0	0	0	0	265971	0	0	0	0	388027	0	0	0	0	1326343	0	0	0	19535285	0
FFQ	31	0	0	0	0	0	0	0	0	0	0	0	0	190832	0	0	0	0	0	0	0	0	0	148834	0	0	0	0	273228	0	0	0	0	390021	0	0	0	0	1336825	0	0	0	19471307	0
FFQ	32	0	0	0	0	0	0	0	0	0	0	0	0	154797	0	0	0	0	0	0	0	0	0	147835	0	0	0	0	279205	0	0	0	0	393768	0	0	0	0	1357936	0	0	0	19477506	0
FFQ	33	0	0	27	0	0	0	0	0	0	0	0	0	160279	0	0	0	0	0	0	0	0	0	145314	0	0	0	0	271560	0	0	0	0	394968	0	0	0	0	1364409	0	0	0	19474490	0
FFQ	34	0	0	4	0	0	0	0	0	0	0	0	0	159791	0	0	0	0	0	0	0	0	0	145219	0	0	0	0	270148	0	0	0	0	395055	0	0	0	0	1354587	0	0	0	19486243	0
FFQ	35	0	0	0	0	0	0	0	0	0	0	0	0	162594	0	0	0	0	0	0	0	0	0	146585	0	0	0	0	272273	0	0	0	0	396389	0	0	0	0	1361500	0	0	0	19471706	0
FFQ	36	0	0	0	0	0	0	0	0	0	0	0	0	159831	0	0	0	0	0	0	0	0	0	145038	0	0	0	0	271463	0	0	0	0	395006	0	0	0	0	1364237	0	0	0	19475472	0
FFQ	37	0	0	8	0	0	0	0	0	0	0	0	0	163503	0	0	0	0	0	0	0	0	0	147034	0	0	0	0	274119	0	0	0	0	398532	0	0	0	0	1371196	0	0	0	19456655	0
FFQ	38	0	0	0	0	0	0	0	0	0	0	0	0	166488	0	0	0	0	0	0	0	0	0	148898	0	0	0	0	278044	0	0	0	0	400713	0	0	0	0	1380798	0	0	0	19436106	0
FFQ	39	0	0	79	0	0	0	0	0	0	0	0	0	170417	0	0	0	0	0	0	0	0	0	150674	0	0	0	0	279779	0	0	0	0	404635	0	0	0	0	1396363	0	0	0	19409100	0
FFQ	40	0	0	0	0	0	0	0	0	0	0	0	0	171708	0	0	0	0	0	0	0	0	0	152246	0	0	0	0	280784	0	0	0	0	407853	0	0	0	0	1401168	0	0	0	19397288	0
FFQ	41	0	0	0	0	0	0	0	0	0	0	0	0	174539	0	0	0	0	0	0	0	0	0	153660	0	0	0	0	285861	0	0	0	0	411327	0	0	0	0	1420382	0	0	0	19365278	0
FFQ	42	0	0	0	0	0	0	0	0	0	0	0	0	174834	0	0	0	0	0	0	0	0	0	154194	0	0	0	0	284876	0	0	0	0	410216	0	0	0	0	1418044	0	0	0	19368883	0
FFQ	43	0	0	6	0	0	0	0	0	0	0	0	0	176407	0	0	0	0	0	0	0	0	0	154816	0	0	0	0	285789	0	0	0	0	411244	0	0	0	0	1416370	0	0	0	19366415	0
FFQ	44	0	0	16	0	0	0	0	0	0	0	0	0	180913	0	0	0	0	0	0	0	0	0	157619	0	0	0	0	290546	0	0	0	0	416229	0	0	0	0	1435154	0	0	0	19330570	0
FFQ	45	0	0	16	0	0	0	0	0	0	0	0	0	186168	0	0	0	0	0	0	0	0	0	160477	0	0	0	0	294669	0	0	0	0	418942	0	0	0	0	1451746	0	0	0	19299029	0
FFQ	46	0	0	40	0	0	0	0	0	0	0	0	0	184820	0	0	0	0	0	0	0	0	0	160789	0	0	0	0	293830	0	0	0	0	421663	0	0	0	0	1462281	0	0	0	19287624	0
FFQ	47	0	0	0	0	0	0	0	0	0	0	0	0	188568	0	0	0	0	0	0	0	0	0	162438	0	0	0	0	297385	0	0	0	0	425296	0	0	0	0	1474304	0	0	0	19263056	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	188313	0	0	0	0	0	0	0	0	0	162719	0	0	0	0	298845	0	0	0	0	425967	0	0	0	0	1474751	0	0	0	19260452	0
FFQ	49	0	0	0	0	0	0	0	0	0	0	0	0	191164	0	0	0	0	0	0	0	0	0	164095	0	0	0	0	299517	0	0	0	0	427467	0	0	0	0	1483178	0	0	0	19245626	0
FFQ	50	0	0	0	0	0	0	0	0	0	0	0	0	197645	0	0	0	0	0	0	0	0	0	166986	0	0	0	0	305861	0	0	0	0	433143	0	0	0	0	1504522	0	0	0	19202890	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	196121	0	0	0	0	0	0	0	0	0	168144	0	0	0	0	307968	0	0	0	0	434646	0	0	0	0	1518235	0	0	0	19185933	0
FFQ	52	0	0	6	0	0	0	0	0	0	0	0	0	198742	0	0	0	0	0	0	0	0	0	168241	0	0	0	0	309973	0	0	0	0	432131	0	0	0	0	1517430	0	0	0	19184524	0
FFQ	53	0	0	0	0	0	0	0	0	0	0	0	0	201408	0	0	0	0	0	0	0	0	0	169632	0	0	0	0	312979	0	0	0	0	434810	0	0	0	0	1526316	0	0	0	19165902	0
FFQ	54	0	0	118	0	0	0	0	0	0	0	0	0	205211	0	0	0	0	0	0	0	0	0	172592	0	0	0	0	317787	0	0	0	0	438781	0	0	0	0	1549464	0	0	0	19127094	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	210763	0	0	0	0	0	0	0	0	0	176518	0	0	0	0	321436	0	0	0	0	443022	0	0	0	0	1562927	0	0	0	19096381	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	216266	0	0	0	0	0	0	0	0	0	178657	0	0	0	0	327720	0	0	0	0	448518	0	0	0	0	1577973	0	0	0	19061913	0
FFQ	57	0	0	2	0	0	0	0	0	0	0	0	0	217913	0	0	0	0	0	0	0	0	0	180541	0	0	0	0	328984	0	0	0	0	453676	0	0	0	0	1586351	0	0	0	19043580	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	217300	0	0	0	0	0	0	0	0	0	180179	0	0	0	0	328977	0	0	0	0	465943	0	0	0	0	1576652	0	0	0	19041996	0
FFQ	59	0	0	183	0	0	0	0	0	0	0	0	0	218270	0	0	0	0	0	0	0	0	0	180134	0	0	0	0	330734	0	0	0	0	488329	0	0	0	0	1563365	0	0	0	19030032	0
FFQ	60	0	0	175	0	0	0	0	0	0	0	0	0	223247	0	0	0	0	0	0	0	0	0	183306	0	0	0	0	333576	0	0	0	0	505299	0	0	0	0	1562448	0	0	0	19002996	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	225989	0	0	0	0	0	0	0	0	0	184924	0	0	0	0	335800	0	0	0	0	521645	0	0	0	0	1554657	0	0	0	18987741	0
FFQ	62	0	0	0	0	0	0	0	0	0	0	0	0	229083	0	0	0	0	0	0	0	0	0	187131	0	0	0	0	340446	0	0	0	0	528063	0	0	0	0	1573725	0	0	0	18952048	0
FFQ	63	0	0	202	0	0	0	0	0	0	0	0	0	233678	0	0	0	0	0	0	0	0	0	189791	0	0	0	0	342728	0	0	0	0	539508	0	0	0	0	1583852	0	0	0	18920477	0
FFQ	64	0	0	7	0	0	0	0	0	0	0	0	0	233819	0	0	0	0	0	0	0	0	0	190093	0	0	0	0	343563	0	0	0	0	541147	0	0	0	0	1590647	0	0	0	18910679	0
FFQ	65	0	0	226	0	0	0	0	0	0	0	0	0	239479	0	0	0	0	0	0	0	0	0	193416	0	0	0	0	347604	0	0	0	0	543789	0	0	0	0	1602139	0	0	0	18883027	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	241383	0	0	0	0	0	0	0	0	0	194250	0	0	0	0	350317	0	0	0	0	548671	0	0	0	0	1614361	0	0	0	18860425	0
FFQ	67	0	0	306	0	0	0	0	0	0	0	0	0	244145	0	0	0	0	0	0	0	0	0	195917	0	0	0	0	353188	0	0	0	0	550481	0	0	0	0	1632774	0	0	0	18832313	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	257623	0	0	0	0	0	0	0	0	0	206850	0	0	0	0	372085	0	0	0	0	582194	0	0	0	0	1703991	0	0	0	18686098	0
FFQ	69	0	0	0	0	0	0	0	0	0	0	0	0	266736	0	0	0	0	0	0	0	0	0	212542	0	0	0	0	380034	0	0	0	0	591688	0	0	0	0	1732442	0	0	0	18625144	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	271985	0	0	0	0	0	0	0	0	0	213404	0	0	0	0	380185	0	0	0	0	591857	0	0	0	0	1733872	0	0	0	18617031	0
FFQ	71	0	0	0	0	0	0	0	0	0	0	0	0	272983	0	0	0	0	0	0	0	0	0	213369	0	0	0	0	380556	0	0	0	0	590188	0	0	0	0	1742362	0	0	0	18608613	0
FFQ	72	0	0	54	0	0	0	0	0	0	0	0	0	281636	0	0	0	0	0	0	0	0	0	217425	0	0	0	0	385084	0	0	0	0	599467	0	0	0	0	1759875	0	0	0	18564310	0
FFQ	73	0	0	0	0	0	0	0	0	0	0	0	0	281198	0	0	0	0	0	0	0	0	0	218241	0	0	0	0	384244	0	0	0	0	601045	0	0	0	0	1751582	0	0	0	18571304	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	284355	0	0	0	0	0	0	0	0	0	219609	0	0	0	0	387752	0	0	0	0	609924	0	0	0	0	1759637	0	0	0	18546033	0
FFQ	75	0	0	110	0	0	0	0	0	0	0	0	0	286294	0	0	0	0	0	0	0	0	0	220124	0	0	0	0	389393	0	0	0	0	628383	0	0	0	0	1755091	0	0	0	18527627	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	292812	0	0	0	0	0	0	0	0	0	225269	0	0	0	0	397795	0	0	0	0	609641	0	0	0	0	1801105	0	0	0	18480118	0
FFQ	77	0	0	0	0	0	0	0	0	0	0	0	0	280189	0	0	0	0	0	0	0	0	0	634203	0	0	0	0	570411	0	0	0	0	1936673	0	0	0	0	5192560	0	0	0	13192456	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	268443	0	0	0	0	0	0	0	0	0	307953	0	0	0	0	443936	0	0	0	0	1054516	0	0	0	0	2627965	0	0	0	17103438	0
FFQ	79	0	0	0	0	0	0	0	0	0	0	0	0	244017	0	0	0	0	0	0	0	0	0	236108	0	0	0	0	380052	0	0	0	0	773912	0	0	0	0	1949938	0	0	0	18221965	0
FFQ	80	0	0	93	0	0	0	0	0	0	0	0	0	230446	0	0	0	0	0	0	0	0	0	206251	0	0	0	0	353820	0	0	0	0	664230	0	0	0	0	1690893	0	0	0	18659998	0
FFQ	81	0	0	0	0	0	0	0	0	0	0	0	0	227483	0	0	0	0	0	0	0	0	0	197177	0	0	0	0	340287	0	0	0	0	620478	0	0	0	0	1579503	0	0	0	18840554	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	226955	0	0	0	0	0	0	0	0	0	199695	0	0	0	0	329668	0	0	0	0	602512	0	0	0	0	1543731	0	0	0	18902654	0
FFQ	83	0	0	0	0	0	0	0	0	0	0	0	0	229812	0	0	0	0	0	0	0	0	0	212758	0	0	0	0	317269	0	0	0	0	600925	0	0	0	0	1542954	0	0	0	18901220	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	230672	0	0	0	0	0	0	0	0	0	224147	0	0	0	0	309594	0	0	0	0	597628	0	0	0	0	1542828	0	0	0	18899825	0
FFQ	85	0	0	0	0	0	0	0	0	0	0	0	0	230096	0	0	0	0	0	0	0	0	0	234711	0	0	0	0	295951	0	0	0	0	594826	0	0	0	0	1542595	0	0	0	18906235	0
FFQ	86	0	0	104	0	0	0	0	0	0	0	0	0	234929	0	0	0	0	0	0	0	0	0	239981	0	0	0	0	295662	0	0	0	0	598350	0	0	0	0	1552130	0	0	0	18882969	0
FFQ	87	0	0	0	0	0	0	0	0	0	0	0	0	235622	0	0	0	0	0	0	0	0	0	243690	0	0	0	0	294533	0	0	0	0	601413	0	0	0	0	1563924	0	0	0	18864664	0
FFQ	88	0	0	0	0	0	0	0	0	0	0	0	0	242422	0	0	0	0	0	0	0	0	0	247234	0	0	0	0	299919	0	0	0	0	606236	0	0	0	0	1580053	0	0	0	18827711	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	246555	0	0	0	0	0	0	0	0	0	251225	0	0	0	0	302793	0	0	0	0	615633	0	0	0	0	1601148	0	0	0	18785969	0
FFQ	90	0	0	0	0	0	0	0	0	0	0	0	0	258115	0	0	0	0	0	0	0	0	0	259417	0	0	0	0	310246	0	0	0	0	627601	0	0	0	0	1634106	0	0	0	18713539	0
FFQ	91	0	0	357	0	0	0	0	0	0	0	0	0	256788	0	0	0	0	0	0	0	0	0	260494	0	0	0	0	309520	0	0	0	0	628678	0	0	0	0	1637263	0	0	0	18709652	0
FFQ	92	0	0	2	0	0	0	0	0	0	0	0	0	263353	0	0	0	0	0	0	0	0	0	263700	0	0	0	0	315307	0	0	0	0	634924	0	0	0	0	1657316	0	0	0	18667863	0
FFQ	93	0	0	0	0	0	0	0	0	0	0	0	0	269521	0	0	0	0	0	0	0	0	0	268306	0	0	0	0	319734	0	0	0	0	644142	0	0	0	0	1678931	0	0	0	18621542	0
FFQ	94	0	0	308	0	0	0	0	0	0	0	0	0	273230	0	0	0	0	0	0	0	0	0	270696	0	0	0	0	321377	0	0	0	0	649270	0	0	0	0	1695766	0	0	0	18591282	0
FFQ	95	0	0	6	0	0	0	0	0	0	0	0	0	278406	0	0	0	0	0	0	0	0	0	273297	0	0	0	0	323287	0	0	0	0	653475	0	0	0	0	1706726	0	0	0	18566437	0
FFQ	96	0	0	1079	0	0	0	0	0	0	0	0	0	284611	0	0	0	0	0	0	0	0	0	279402	0	0	0	0	330081	0	0	0	0	661171	0	0	0	0	1728227	0	0	0	18516745	0
FFQ	97	0	0	74	0	0	0	0	0	0	0	0	0	286836	0	0	0	0	0	0	0	0	0	280849	0	0	0	0	332379	0	0	0	0	668411	0	0	0	0	1743998	0	0	0	18488487	0
FFQ	98	0	0	0	0	0	0	0	0	0	0	0	0	288703	0	0	0	0	0	0	0	0	0	283625	0	0	0	0	332776	0	0	0	0	671198	0	0	0	0	1749453	0	0	0	18474984	0
FFQ	99	0	0	0	0	0	0	0	0	0	0	0	0	292042	0	0	0	0	0	0	0	0	0	284592	0	0	0	0	333986	0	0	0	0	672720	0	0	0	0	1757958	0	0	0	18459151	0
FFQ	100	0	0	0	0	0	0	0	0	0	0	0	0	296823	0	0	0	0	0	0	0	0	0	287165	0	0	0	0	339242	0	0	0	0	679483	0	0	0	0	1773523	0	0	0	18423906	0
FFQ	101	0	0	0	0	0	0	0	0	0	0	0	0	304737	0	0	0	0	0	0	0	0	0	292406	0	0	0	0	343311	0	0	0	0	684160	0	0	0	0	1788601	0	0	0	18386619	0
FFQ	102	0	0	0	0	0	0	0	0	0	0	0	0	306721	0	0	0	0	0	0	0	0	0	295956	0	0	0	0	348387	0	0	0	0	697562	0	0	0	0	1810272	0	0	0	18340644	0
FFQ	103	0	0	0	0	0	0	0	0	0	0	0	0	313417	0	0	0	0	0	0	0	0	0	297624	0	0	0	0	348734	0	0	0	0	701768	0	0	0	0	1809045	0	0	0	18328611	0
FFQ	104	0	0	0	0	0	0	0	0	0	0	0	0	313844	0	0	0	0	0	0	0	0	0	300542	0	0	0	0	352151	0	0	0	0	718453	0	0	0	0	1814178	0	0	0	18299714	0
FFQ	105	0	0	0	0	0	0	0	0	0	0	0	0	321333	0	0	0	0	0	0	0	0	0	304625	0	0	0	0	355157	0	0	0	0	736355	0	0	0	0	1816438	0	0	0	18264639	0
FFQ	106	0	0	0	0	0	0	0	0	0	0	0	0	329291	0	0	0	0	0	0	0	0	0	310698	0	0	0	0	361463	0	0	0	0	753364	0	0	0	0	1842379	0	0	0	18201038	0
FFQ	107	0	0	0	0	0	0	0	0	0	0	0	0	336152	0	0	0	0	0	0	0	0	0	315873	0	0	0	0	364920	0	0	0	0	774106	0	0	0	0	1850170	0	0	0	18156691	0
FFQ	108	0	0	0	0	0	0	0	0	0	0	0	0	345721	0	0	0	0	0	0	0	0	0	321622	0	0	0	0	372973	0	0	0	0	789643	0	0	0	0	1873205	0	0	0	18094460	0
FFQ	109	0	0	74	0	0	0	0	0	0	0	0	0	351789	0	0	0	0	0	0	0	0	0	327051	0	0	0	0	377140	0	0	0	0	799787	0	0	0	0	1890579	0	0	0	18050899	0
FFQ	110	0	0	52	0	0	0	0	0	0	0	0	0	356312	0	0	0	0	0	0	0	0	0	328421	0	0	0	0	378357	0	0	0	0	802869	0	0	0	0	1899448	0	0	0	18031531	0
FFQ	111	0	0	574	0	0	0	0	0	0	0	0	0	362983	0	0	0	0	0	0	0	0	0	332662	0	0	0	0	386435	0	0	0	0	811619	0	0	0	0	1927466	0	0	0	17974931	0
FFQ	112	0	0	371	0	0	0	0	0	0	0	0	0	372772	0	0	0	0	0	0	0	0	0	340911	0	0	0	0	395494	0	0	0	0	826470	0	0	0	0	1955498	0	0	0	17904822	0
FFQ	113	0	0	109	0	0	0	0	0	0	0	0	0	384148	0	0	0	0	0	0	0	0	0	349746	0	0	0	0	405046	0	0	0	0	840632	0	0	0	0	1995042	0	0	0	17821326	0
FFQ	114	0	0	63	0	0	0	0	0	0	0	0	0	387898	0	0	0	0	0	0	0	0	0	351327	0	0	0	0	407653	0	0	0	0	844701	0	0	0	0	1996315	0	0	0	17807757	0
FFQ	115	0	0	1	0	0	0	0	0	0	0	0	0	392620	0	0	0	0	0	0	0	0	0	356121	0	0	0	0	416270	0	0	0	0	848070	0	0	0	0	2014858	0	0	0	17767417	0
FFQ	116	0	0	66	0	0	0	0	0	0	0	0	0	400089	0	0	0	0	0	0	0	0	0	360734	0	0	0	0	422924	0	0	0	0	857730	0	0	0	0	2051691	0	0	0	17701806	0
FFQ	117	0	0	4	0	0	0	0	0	0	0	0	0	406244	0	0	0	0	0	0	0	0	0	366714	0	0	0	0	426812	0	0	0	0	863691	0	0	0	0	2098003	0	0	0	17633232	0
FFQ	118	0	0	9	0	0	0	0	0	0	0	0	0	425345	0	0	0	0	0	0	0	0	0	376437	0	0	0	0	429586	0	0	0	0	875252	0	0	0	0	2178656	0	0	0	17509055	0
FFQ	119	0	0	5	0	0	0	0	0	0	0	0	0	424253	0	0	0	0	0	0	0	0	0	386979	0	0	0	0	436533	0	0	0	0	887346	0	0	0	0	2313381	0	0	0	17345491	0
FFQ	120	0	0	20	0	0	0	0	0	0	0	0	0	442328	0	0	0	0	0	0	0	0	0	399672	0	0	0	0	444320	0	0	0	0	912626	0	0	0	0	2442019	0	0	0	17152627	0
FFQ	121	0	0	202	0	0	0	0	0	0	0	0	0	447389	0	0	0	0	0	0	0	0	0	407183	0	0	0	0	446378	0	0	0	0	923900	0	0	0	0	2514473	0	0	0	17053723	0
FFQ	122	0	0	136	0	0	0	0	0	0	0	0	0	459346	0	0	0	0	0	0	0	0	0	416114	0	0	0	0	449105	0	0	0	0	934846	0	0	0	0	2636241	0	0	0	16897085	0
FFQ	123	0	0	0	0	0	0	0	0	0	0	0	0	460372	0	0	0	0	0	0	0	0	0	422450	0	0	0	0	450260	0	0	0	0	936216	0	0	0	0	2705786	0	0	0	16817371	0
FFQ	124	0	0	0	0	0	0	0	0	0	0	0	0	469821	0	0	0	0	0	0	0	0	0	427704	0	0	0	0	459897	0	0	0	0	939723	0	0	0	0	2770992	0	0	0	16723887	0
FFQ	125	0	0	0	0	0	0	0	0	0	0	0	0	480133	0	0	0	0	0	0	0	0	0	436043	0	0	0	0	464899	0	0	0	0	949230	0	0	0	0	2837270	0	0	0	16624057	0
FFQ	126	0	0	0	0	0	0	0	0	0	0	0	0	496119	0	0	0	0	0	0	0	0	0	448213	0	0	0	0	481346	0	0	0	0	961953	0	0	0	0	2884754	0	0	0	16518835	0
FFQ	127	0	0	0	0	0	0	0	0	0	0	0	0	509787	0	0	0	0	0	0	0	0	0	459050	0	0	0	0	506897	0	0	0	0	963090	0	0	0	0	2943339	0	0	0	16408638	0
FFQ	128	0	0	5	0	0	0	0	0	0	0	0	0	517565	0	0	0	0	0	0	0	0	0	465101	0	0	0	0	538698	0	0	0	0	943372	0	0	0	0	2995081	0	0	0	16330566	0
