#mpa_vJun23_CHOCOPhlAnSGB_202403
#/opt/software/metaphlan/4.1.1/venv/bin/metaphlan /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/tmp_decompressed_1MHhOE/ERR2641733_1.fq,/maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/tmp_decompressed_1MHhOE/ERR2641733_2.fq --bowtie2out /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/ERR2641733.mapout.bz2 --bowtie2db /maps/datasets/globe_databases/metaphlan/20241118 --index mpa_vJun23_CHOCOPhlAnSGB_202403 --nproc 11 --input_type fastq -o /maps/projects/course_1/scratch/group8/group-project-group-8/week18-preprocessing/retry/03_metaphlan_abd/gut_adult/ERR2641733/ERR2641733_metaphlan.txt
#39315832 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.01218	
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.01071	
k__Bacteria|p__Firmicutes|c__CFGB2897	2|1239|	0.01022	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.00876	
k__Bacteria|p__Firmicutes|c__CFGB79245	2|1239|	0.00785	
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00699	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00634	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00544	
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.00539	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.0052	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00506	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.00488	
k__Bacteria|p__Bacteroidota|c__CFGB667	2|976|	0.00451	
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.0038	
k__Bacteria|p__Firmicutes|c__CFGB32970	2|1239|	0.00266	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00181	
k__Bacteria|p__Firmicutes|c__CFGB45555	2|1239|	0.0011	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.00069	
